Hash Implementation,LoadFactor,Iteration,Avg Contains (hit), Avg Contains (miss), Avg Remove, Avg Add
Cuckoo,0.3,2,0.05804,0.08162,0.07939,0.06585,76667.0
Cuckoo,0.3,3,0.01994,0.03231,0.04176,0.03838,77681.0
Cuckoo,0.3,4,0.01899,0.03025,0.04203,0.03906,80701.0
Cuckoo,0.5,0,0.06061,0.03993,0.21858,0.04909,36229.0
Cuckoo,0.5,1,0.04687,0.05932,0.06705,0.06078,72643.0
Cuckoo,0.5,2,0.08156,0.0796,0.07477,0.06242,76667.0
Cuckoo,0.5,3,0.041,0.07578,0.05777,0.04407,77681.0
Cuckoo,0.5,4,0.03955,0.0442,0.0581,0.05299,80701.0
Cuckoo,0.7,0,0.06503,0.07196,0.13048,0.06883,36229.0
Cuckoo,0.7,1,0.04808,0.06486,0.06658,0.0607,72643.0
Cuckoo,0.7,2,0.08009,0.08702,0.06863,0.05977,76667.0
Cuckoo,0.7,3,0.04669,0.05948,0.06603,0.05195,77681.0
Cuckoo,0.7,4,0.04188,0.05718,0.06522,0.06206,80701.0
Cuckoo,0.9,0,0.04263,0.05329,0.08128,0.06808,36229.0
Cuckoo,0.9,1,0.06116,0.14922,0.07341,0.06542,72643.0
Cuckoo,0.9,2,0.07593,0.09507,0.07412,0.06326,76667.0
Cuckoo,0.9,3,0.04566,0.06173,0.06598,0.05898,77681.0
Cuckoo,0.9,4,0.05398,0.07012,0.06763,0.06634,80701.0
